population	popshort	country	rift.valley
Kit01	Kitale	KKIT	Kenya	west
Kit02	Kitale	KKIT	Kenya	west
Kit03	Kitale	KKIT	Kenya	west
Kit04	Kitale	KKIT	Kenya	west
Kit05	Kitale	KKIT	Kenya	west
Kit06	Kitale	KKIT	Kenya	west
Kit07	Kitale	KKIT	Kenya	west
Kit08	Kitale	KKIT	Kenya	west
Kit09	Kitale	KKIT	Kenya	west
Kit10	Kitale	KKIT	Kenya	west
Kit11	Kitale	KKIT	Kenya	west
Kit12	Kitale	KKIT	Kenya	west
Kit13	Kitale	KKIT	Kenya	west
Kit14	Kitale	KKIT	Kenya	west
Kit15	Kitale	KKIT	Kenya	west
Kit16	Kitale	KKIT	Kenya	west
Kit17	Kitale	KKIT	Kenya	west
Kit18	Kitale	KKIT	Kenya	west
Kit19	Kitale	KKIT	Kenya	west
Kit20	Kitale	KKIT	Kenya	west
Lai01	Laikipia	KLAI	Kenya	east
Lai02	Laikipia	KLAI	Kenya	east
Lai03	Laikipia	KLAI	Kenya	east
Lai04	Laikipia	KLAI	Kenya	east
Lai05	Laikipia	KLAI	Kenya	east
Lai06	Laikipia	KLAI	Kenya	east
Lai07	Laikipia	KLAI	Kenya	east
Lai08	Laikipia	KLAI	Kenya	east
Lai09	Laikipia	KLAI	Kenya	east
Lai10	Laikipia	KLAI	Kenya	east
Lai11	Laikipia	KLAI	Kenya	east
Lai12	Laikipia	KLAI	Kenya	east
Lai13	Laikipia	KLAI	Kenya	east
Lai14	Laikipia	KLAI	Kenya	east
Lai15	Laikipia	KLAI	Kenya	east
Lai16	Laikipia	KLAI	Kenya	east
Lai17	Laikipia	KLAI	Kenya	east
Lai18	Laikipia	KLAI	Kenya	east
Lai19	Laikipia	KLAI	Kenya	east
Lai20	Laikipia	KLAI	Kenya	east
Mas01	Mara	KMAR	Kenya	east
Mas02	Mara	KMAR	Kenya	east
Mas03	Mara	KMAR	Kenya	east
Mas04	Mara	KMAR	Kenya	east
Mas05	Mara	KMAR	Kenya	east
Mas06	Mara	KMAR	Kenya	east
Mas07	Mara	KMAR	Kenya	east
Mas08	Mara	KMAR	Kenya	east
Mas09	Mara	KMAR	Kenya	east
Mas10	Mara	KMAR	Kenya	east
Mas11	Mara	KMAR	Kenya	east
Mas12	Mara	KMAR	Kenya	east
Mas13	Mara	KMAR	Kenya	east
Mas14	Mara	KMAR	Kenya	east
Mas15	Mara	KMAR	Kenya	east
Mas16	Mara	KMAR	Kenya	east
Mas17	Mara	KMAR	Kenya	east
Mas18	Mara	KMAR	Kenya	east
Mas19	Mara	KMAR	Kenya	east
Mas20	Mara	KMAR	Kenya	east
Lus01	Lushoto	TLUS	Tanzania	east
Lus02	Lushoto	TLUS	Tanzania	east
Lus03	Lushoto	TLUS	Tanzania	east
Lus04	Lushoto	TLUS	Tanzania	east
Lus05	Lushoto	TLUS	Tanzania	east
Lus06	Lushoto	TLUS	Tanzania	east
Lus07	Lushoto	TLUS	Tanzania	east
Lus08	Lushoto	TLUS	Tanzania	east
Lus09	Lushoto	TLUS	Tanzania	east
Lus10	Lushoto	TLUS	Tanzania	east
Lus11	Lushoto	TLUS	Tanzania	east
Lus12	Lushoto	TLUS	Tanzania	east
Lus13	Lushoto	TLUS	Tanzania	east
Lus14	Lushoto	TLUS	Tanzania	east
Lus15	Lushoto	TLUS	Tanzania	east
Lus16	Lushoto	TLUS	Tanzania	east
Lus17	Lushoto	TLUS	Tanzania	east
Lus18	Lushoto	TLUS	Tanzania	east
Lus19	Lushoto	TLUS	Tanzania	east
Lus20	Lushoto	TLUS	Tanzania	east
Kib01	Kibale	UKIB	Uganda	west
Kib02	Kibale	UKIB	Uganda	west
Kib03	Kibale	UKIB	Uganda	west
Kib04	Kibale	UKIB	Uganda	west
Kib05	Kibale	UKIB	Uganda	west
Kib06	Kibale	UKIB	Uganda	west
Kib07	Kibale	UKIB	Uganda	west
Kib08	Kibale	UKIB	Uganda	west
Kib09	Kibale	UKIB	Uganda	west
Kib10	Kibale	UKIB	Uganda	west
Kib11	Kibale	UKIB	Uganda	west
Kib12	Kibale	UKIB	Uganda	west
Kib13	Kibale	UKIB	Uganda	west
Kib14	Kibale	UKIB	Uganda	west
Kib15	Kibale	UKIB	Uganda	west
Kib16	Kibale	UKIB	Uganda	west
Kib17	Kibale	UKIB	Uganda	west
Kib18	Kibale	UKIB	Uganda	west
Kib19	Kibale	UKIB	Uganda	west
Kib20	Kibale	UKIB	Uganda	west
