UTM.EW	UTM.NS	elevation	convex	slope	aspectEW	aspectNS
1	625753.967	1011568.985	130.2525	-7.8725	6.694828043	-0.891082521	-0.453841316
2	625753.967	1011668.985	136.81	-10.7	5.086842166	-0.21903766	-0.975716405
3	625753.967	1011768.985	143.6775	-14.6675	3.104794384	0.030513722	-0.999534348
4	625753.967	1011868.985	147.0075	-16.7575	1.8728129	-0.864141834	-0.50324834
5	625753.967	1011968.985	144.385	-12.485	5.118724723	-0.671481157	0.74102163
6	625853.967	1011568.985	136.875	-9.685	2.945531793	-0.865323243	-0.50121421
7	625853.967	1011668.985	139.245	0.25	3.12812528	-0.766961946	-0.641692584
8	625853.967	1011768.985	142.6425	0.188125	2.831005567	0.406237911	-0.913767344
9	625853.967	1011868.985	145.875	1.1296875	2.875696389	0.896849004	-0.442336821
10	625853.967	1011968.985	146.85	-11.94	3.60703124	0.972479113	0.232990073
11	625953.967	1011568.985	138.5475	-5.9275	4.68287314	0.066345256	-0.997796726
12	625953.967	1011668.985	141.7025	1.6921875	1.344319294	-0.830379386	0.557198416
13	625953.967	1011768.985	141.4525	-1.2059375	1.626707207	0.517698181	-0.855563319
14	625953.967	1011868.985	143.865	-0.926875	3.009875739	-0.098527474	-0.995134331
15	625953.967	1011968.985	148.0825	-11.7725	3.191131545	-0.614685208	-0.788772525
16	626053.967	1011568.985	136.995	-3.725	8.149827302	0.186453603	-0.982463767
17	626053.967	1011668.985	142.795	2.246875	1.232860829	-0.127523013	0.991835612
18	626053.967	1011768.985	141.53	-1.9046875	0.674657846	-0.825950496	0.563742652
19	626053.967	1011868.985	143.6125	-1.61125	3.033480907	0.193241508	-0.981151222
20	626053.967	1011968.985	148.29	-12.79	3.224861316	0.534461001	-0.845193137
21	626153.967	1011568.985	136.3025	-1.6425	9.509229643	-0.072540428	-0.997365473
22	626153.967	1011668.985	143.91	1.6378125	1.517877032	-0.796084595	0.605185357
23	626153.967	1011768.985	143.945	-1.8859375	2.666367818	-0.937424956	-0.348187379
24	626153.967	1011868.985	146.195	-1.361875	3.874583547	-0.899990026	-0.435910487
25	626153.967	1011968.985	148.43	-15.66	3.155105203	-0.906745244	-0.421678861
26	626253.967	1011568.985	139.85	-4.69	8.497724165	-0.401821688	-0.915717932
27	626253.967	1011668.985	147.425	2.4171875	3.351758719	-0.945273573	-0.326278825
28	626253.967	1011768.985	149.335	0.1465625	3.968475313	-0.953910472	-0.300091338
29	626253.967	1011868.985	151.845	0.7715625	3.453796856	-0.870996312	-0.491289553
30	626253.967	1011968.985	153.4675	-16.2575	4.094163577	-0.999056116	-0.043438195
31	626353.967	1011568.985	142.15	-6.33	6.282803645	0.116419694	-0.993200108
32	626353.967	1011668.985	150.555	2.7396875	3.616268542	-0.198035271	-0.980194895
33	626353.967	1011768.985	154.015	1.756875	1.706829842	-0.937707751	-0.347425062
34	626353.967	1011868.985	155.6175	1.4075	1.821806121	-0.7287999	-0.684726738
35	626353.967	1011968.985	157.5825	-20.6525	1.362353357	-0.635629542	-0.771994226
36	626453.967	1011568.985	141.8725	-4.7625	8.442710444	-0.049885476	-0.998754945
37	626453.967	1011668.985	152.5125	6.3309375	4.211257748	-0.373634741	-0.927575916
38	626453.967	1011768.985	155.3625	4.665625	1.522319331	0.079559197	0.996830143
39	626453.967	1011868.985	155.4125	2.80125	1.766963776	0.919493895	-0.393104283
40	626453.967	1011968.985	156.66	-18.32	2.038691586	0.927110218	-0.374788798
41	626553.967	1011568.985	135.635	2.825	10.37270502	0.765648032	-0.643259738
42	626553.967	1011668.985	143.6675	3.8421875	11.87379294	0.971567171	-0.236764084
43	626553.967	1011768.985	146.195	2.16875	10.46819126	0.999990394	-0.004383192
44	626553.967	1011868.985	147.6	1.8221875	7.633565052	0.978332058	-0.207041987
45	626553.967	1011968.985	147.8575	-8.3175	8.526229025	0.988239596	0.152913376
46	626653.967	1011568.985	125.2175	13.2125	4.921735537	0.889835857	-0.456280777
47	626653.967	1011668.985	129.095	10.655	5.451733224	0.915361575	-0.402632819
48	626653.967	1011768.985	132.7125	7.1875	5.347485401	0.931793977	-0.362987582
49	626653.967	1011868.985	135.8475	4.4125	6.401798492	0.965161856	-0.261653573
50	626653.967	1011968.985	136.175	4.575	5.794870451	0.971206093	0.238240896
