forest	plotID	species	count	basal
LOT	LOTP001	Lirituli	4	5140
LOT	LOTP001	Prunsero	1	1385.4
LOT	LOTP001	Sassalbi	1	1012.2
LOT	LOTP001	Platocci	1	730.6
LOT	LOTP001	Acerrubr	1	317.3
LOT	LOTP001	Cornflor	1	201.1
LOT	LOTP001	Acernegu	1	102.1
LOT	LOTP002	Querrubr	2	7166.8
LOT	LOTP002	Fraxamer	2	2694.9
LOT	LOTP002	Pinustro	2	287.7
LOT	LOTP003	Pinustro	22	6139.7
LOT	LOTP003	Prunsero	4	433.3
LOT	LOTP003	Lirituli	3	356.2
LOT	LOTP004	Lirituli	1	1418.6
LOT	LOTP004	Pinuresi	2	1197.7
LOT	LOTP004	Fraxpenn	2	774.4
LOT	LOTP004	Pinutaed	1	706.9
LOT	LOTP004	Querrubr	1	615.8
LOT	LOTP004	Nysssylv	2	377.8
LOT	LOTP004	Cornflor	2	245.8
LOT	LOTP004	Prunsero	1	201.1
LOT	LOTP004	Carytome	1	132.7
LOT	LOTP004	Cerccana	1	113.1
LOT	LOTP004	Acerrubr	1	86.6
LOT	LOTP005	Quercocc	2	6842.6
LOT	LOTP005	Aescglab	15	2922.3
LOT	LOTP005	Caryovat	2	1518.2
LOT	LOTP006	Prunsero	5	961.5
LOT	LOTP006	Lirituli	1	323.7
LOT	LOTP006	Acernegu	1	78.5
LOT	LOTP007	Ulmurubr	2	471.7
LOT	LOTP007	Lirituli	4	384.6
LOT	LOTP007	Sassalbi	2	232.9
LOT	LOTP007	Cerccana	1	116.9
LOT	LOTP007	Cornflor	1	93.3
LOT	LOTP007	Prunsero	1	83.3
LOT	LOTP008	Acernegu	12	3578.1
LOT	LOTP008	Prunsero	3	1720.7
LOT	LOTP009	Quermueh	3	1667.8
LOT	LOTP009	Quercocc	1	1520.5
LOT	LOTP009	Aescglab	8	1126.2
LOT	LOTP009	Querrubr	1	721.1
LOT	LOTP009	Caryovat	1	216.4
LOT	LOTP010	Querrubr	1	3217
LOT	LOTP010	Aescglab	4	1988.9
LOT	LOTP010	Acersacc	3	1677.2
LOT	LOTP010	Celtocci	2	1624.4
LOT	LOTP010	Ulmurubr	2	541.1
LOT	LOTP010	Fraxamer	1	353
LOT	LOTP010	Quermueh	1	227
LOT	LOTP010	Ulmuamer	1	143.1
LOT	LOTP011	Acernegu	4	3390.3
LOT	LOTP011	Acersacc	4	1444.5
LOT	LOTP011	Platocci	2	1106.9
LOT	LOTP011	Ulmurubr	1	408.3
LOT	LOTP012	Querrubr	2	2234.5
LOT	LOTP012	Acersacc	7	2084.9
LOT	LOTP012	Ulmurubr	1	794.2
LOT	LOTP012	Caryovat	1	706.9
LOT	LOTP012	Prunsero	1	551.6
LOT	LOTP012	Rubuocci	1	98.5
LOT	LOTP013	Fraxamer	1	2290.2
LOT	LOTP013	Acersacc	7	974.1
LOT	LOTP013	Querrubr	1	907.9
LOT	LOTP013	Quermueh	1	706.9
LOT	LOTP013	Prunsero	1	490.9
LOT	LOTP013	Ulmurubr	2	186.6
LOT	LOTP013	Aescglab	1	158.4
LOT	LOTP014	Platocci	3	8705.5
LOT	LOTP014	Acernegu	3	1723.1
LOT	LOTP014	Ulmurubr	1	494.8
LOT	LOTP015	Acernegu	21	4719.9
LOT	LOTP015	Acersacc	1	130.7
LOT	LOTP016	Acernegu	15	1964.4
LOT	LOTP016	Platocci	2	913.9
LOT	LOTP016	Acerrubr	4	647.2
LOT	LOTP017	Quervelu	1	1832.3
